VDC ID;VDC;gen-21;feb-21;mar-21;apr-21;mag-21;giu-21;lug-21;ago-21;set-21;ott-21;nov-21;dic-21;;;;;;;;;;;;;;;;;;;;;
2.03.01;Provvigioni; 8.014,30 € ; 16.028,60 € ; 16.028,60 € ; 16.028,60 € ; 16.028,60 € ; 16.028,60 € ; 21.371,47 € ; 21.371,47 € ; 32.057,20 € ; 37.400,07 € ; 37.400,07 € ; 37.400,07 € ;;;;;;;;;;;;;;;;;;;;;
2.03.02;Salari; 42.742,93 € ; 69.457,27 € ; 69.457,27 € ; 69.457,27 € ; 69.457,27 € ; 69.457,27 € ; 90.828,73 € ; 90.828,73 € ; 90.828,73 € ; 149.600,27 € ; 160.286,00 € ; 160.286,00 € ;;;;;;;;;;;;;;;;;;;;;
2.03.03;Oneri Finanzari; 5.342,87 € ; 12.822,88 € ; 12.822,88 € ; 12.822,88 € ; 12.822,88 € ; 12.822,88 € ; 19.234,32 € ; 19.234,32 € ; 19.234,32 € ; 37.400,07 € ; 37.400,07 € ; 37.400,07 € ;;;;;;;;;;;;;;;;;;;;;
2.03.04;Formazioni; 2.137,15 € ; 5.342,87 € ; 3.740,01 € ; 2.137,15 € ; 4.274,29 € ; 5.342,87 € ; 3.740,01 € ; 5.342,87 € ; 5.342,87 € ; 10.685,73 € ; 16.028,60 € ; 16.028,60 € ;;;;;;;;;;;;;;;;;;;;;
2.03.05;Altri costi di mano dopera; 374,00 € ; 512,92 € ; 572,76 € ; 614,43 € ; 530,01 € ; 426,36 € ; 537,49 € ; 599,47 € ; 328,05 € ; 854,86 € ; 2.137,15 € ; 3.205,72 € ;;;;;;;;;;;;;;;;;;;;;
2.04.01;Fitti; 3.740,01 € ; 3.740,01 € ; 3.740,01 € ; 3.740,01 € ; 3.740,01 € ; 3.740,01 € ; 4.808,58 € ; 4.808,58 € ; 4.808,58 € ; 4.808,58 € ; 5.342,87 € ; 5.342,87 € ;;;;;;;;;;;;;;;;;;;;;
2.04.02;Contabilità; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ; 801,43 € ; 801,43 € ; 801,43 € ; 801,43 € ; 801,43 € ; 801,43 € ;;;;;;;;;;;;;;;;;;;;;
2.04.03;Elettricità; 854,86 € ; 854,86 € ; 854,86 € ; 854,86 € ; 854,86 € ; 854,86 € ; 1.282,29 € ; 1.282,29 € ; 1.282,29 € ; 1.282,29 € ; 1.282,29 € ; 1.282,29 € ;;;;;;;;;;;;;;;;;;;;;
2.04.04;Utenze Telefoniche; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ; 267,14 € ;;;;;;;;;;;;;;;;;;;;;
2.04.05;Marketing; 2.671,43 € ; 2.671,43 € ; 2.671,43 € ; 2.671,43 € ; 2.671,43 € ; 2.671,43 € ; 3.740,01 € ; 3.740,01 € ; 3.740,01 € ; 10.685,73 € ; 10.685,73 € ; 10.685,73 € ;;;;;;;;;;;;;;;;;;;;;
2.04.06;Pulizia; 374,00 € ; 374,00 € ; 374,00 € ; 374,00 € ; 374,00 € ; 374,00 € ; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ; 534,29 € ;;;;;;;;;;;;;;;;;;;;;
2.04.07;Altri costi Amministrativi; 1.051,48 € ; 772,58 € ; 1.085,67 € ; 1.023,69 € ; 1.011,94 € ; 1.317,55 € ; 1.289,77 € ; 1.156,20 € ; 799,29 € ; 815,32 € ; 1.460,74 € ; 1.419,07 € ;;;;;;;;;;;;;;;;;;;;;
2.05.01;Spese generali; 7.110,29 € ; 5.539,48 € ; 8.362,65 € ; 4.718,82 € ; 3.675,89 € ; 4.903,68 € ; 6.713,85 € ; 8.201,30 € ; 4.517,93 € ; 10.151,45 € ; 10.151,45 € ; 10.151,45 € ;;;;;;;;;;;;;;;;;;;;;
